Code INSEE;Code Postal;Commune
95054;95750;LE BELLAY-EN-VEXIN
77220;77760;GUERCHEVILLE
95500;95000/95300;PONTOISE
77511;77230;VILLENEUVE-SOUS-DAMMARTIN
78522;78730;ROCHEFORT-EN-YVELINES
77272;77370;MAISON-ROUGE
77383;77370;RAMPILLON
95491;95130;LE PLESSIS-BOUCHARD
91226;91580;ETRECHY
78591;78790;SEPTEUIL
78410;78840;MOISSON
93013;93350;LE BOURGET
91408;91490;MOIGNY-SUR-ECOLE
91080;91590;BOISSY-LE-CUTTE
95592;95450;SERAINCOURT
77033;77970;BEZALLES
77013;77120;AULNOY
77432;77320;SAINT-REMY-LA-VANNE
91473;91590;ORVEAU
95641;95470;VEMARS
77407;77310;SAINT-FARGEAU-PONTHIERRY
95487;95340;PERSAN
95055;95270;BELLEFONTAINE
77305;77130;MONTEREAU-FAULT-YONNE
77500;77710;VILLEBEON
77028;77120;BEAUTHEIL
78251;78112;FOURQUEUX
77104;77610;CHATRES
78397;78320;LE MESNIL-SAINT-DENIS
77241;77230;JUILLY
92023;92140;CLAMART
78516;78125;RAIZEUX
77457;77111;SOLERS
92049;92120;MONTROUGE
91425;91310;MONTLHERY
93048;93100;MONTREUIL
91521;91130;RIS-ORANGIS
77514;77270;VILLEPARISIS
77227;77114;HERME
95154;95380;CHENNEVIERES-LES-LOUVRES
91617;91250;TIGERY
78281;78930;GOUSSONVILLE
95210;95880;ENGHIEN-LES-BAINS
95229;95460;EZANVILLE
77136;77390;COURQUETAINE
95594;95270;SEUGY
77023;77910;BARCY
77058;77600;BUSSY-SAINT-GEORGES
91293;91590;GUIGNEVILLE-SUR-ESSONNE
77120;77440;COCHEREL
77194;77130;FORGES
78402;78970;MEZIERES-SUR-SEINE
95101;95710;BRAY-ET-LU
77261;77710;LORREZ-LE-BOCAGE-PREAUX
77001;77760;ACHERES-LA-FORET
77401;77260;SAINTE-AULDE
75102;75002;PARIS-2E-ARRONDISSEMENT
75111;75011;PARIS-11E-ARRONDISSEMENT
78561;78470;SAINT-LAMBERT
95395;95720;LE MESNIL-AUBRY
91679;91190;VILLIERS-LE-BACLE
78262;78490;GALLUIS
77282;77990;MAUREGARD
95304;95690;HEDOUVILLE
77019;77118;BALLOY
91095;91850;BOURAY-SUR-JUINE
91414;91930;MONNERVILLE
91661;91140;VILLEBON-SUR-YVETTE
78650;78110;LE VESINET
77460;77440;TANCROU
78238;78410;FLINS-SUR-SEINE
92012;92100;BOULOGNE-BILLANCOURT
78475;78910;OSMOY
91477;91120;PALAISEAU
77471;77123;TOUSSON
95436;95260;MOURS
91114;91800;BRUNOY
91109;91150;BRIERES-LES-SCELLES
95295;95450;GUIRY-EN-VEXIN
77070;77120;CHAILLY-EN-BRIE
75119;75019;PARIS-19E-ARRONDISSEMENT
95012;95510;AMENUCOURT
95063;95870;BEZONS
75120;75020;PARIS-20E-ARRONDISSEMENT
77096;77590;CHARTRETTES
77060;77760;BUTHIERS
77486;77141;VAUDOY-EN-BRIE
78299;78250;HARDRICOURT
95489;95350;PISCOP
77003;77760;AMPONVILLE
77254;77220;LIVERDY-EN-BRIE
77245;77148;LAVAL-EN-BRIE
77491;77250;VENEUX-LES-SABLONS
77002;77120;AMILLIS
77196;77410;FRESNES-SUR-MARNE
77224;77515;HAUTEFEUILLE
93059;93380;PIERREFITTE-SUR-SEINE
77411;77169;SAINT-GERMAIN-SOUS-DOUE
77454;77520;SOGNOLLES-EN-MONTOIS
77416;77370;SAINT-JUST-EN-BRIE
91064;91570;BIEVRES
95566;95270;SAINT-MARTIN-DU-TERTRE
91534;91400;SACLAY
77365;77540;LE PLESSIS-FEU-AUSSOUX
91017;91470;ANGERVILLIERS
77427;77410;SAINT-MESMES
77420;77230;SAINT-MARD
95459;95420;NUCOURT
77027;77890;BEAUMONT-DU-GATINAIS
93033;93460;GOURNAY-SUR-MARNE
77358;77124;PENCHARD
78006;78113;ADAINVILLE
95250;95470;FOSSES
95392;95630;MERIEL
95211;95300;ENNERY
91244;91540;FONTENAY-LE-VICOMTE
77150;77165;CUISY
77117;77730;CITRY
77075;77144;CHALIFERT
77022;77630;BARBIZON
78265;78890;GARANCIERES
94071;94370;SUCY-EN-BRIE
91411;91470;LES MOLIERES
78096;78113;BOURDONNE
95676;95510;VILLERS-EN-ARTHIES
78152;78450;CHAVENAY
95483;95450;LE PERCHAY
78034;78770;AUTEUIL
91235;91700;FLEURY-MEROGIS
77337;77186;NOISIEL
77004;77390;ANDREZEL
77048;77780;BOURRON-MARLOTTE
77476;77440;TROCY-EN-MULTIEN
91121;91720;BUNO-BONNEVAUX
78082;78200;BOISSY-MAUVOISIN
77271;77570;MAISONCELLES-EN-GATINAIS
78440;78130;LES MUREAUX
78164;78120;CLAIREFONTAINE-EN-YVELINES
92046;92240;MALAKOFF
77159;77520;DONNEMARIE-DONTILLY
95539;95350;SAINT-BRICE-SOUS-FORET
77410;77950;SAINT-GERMAIN-LAXIS
77084;77660;CHANGIS-SUR-MARNE
78403;78250;MEZY-SUR-SEINE
77037;77590;BOIS-LE-ROI
78655;78125;VIEILLE-EGLISE-EN-YVELINES
91180;91490;COURANCES
77226;77850;HERICY
95166;95420;CLERY-EN-VEXIN
78455;78590;NOISY-LE-ROI
77257;77440;LIZY-SUR-OURCQ
91544;91690;SAINT-CYR-LA-RIVIERE
78356;78114;MAGNY-LES-HAMEAUX
91130;91780;CHALO-SAINT-MARS
95142;95750;CHARS
77377;77220;PRESLES-EN-BRIE
77212;77118;GRAVON
78255;78840;FRENEUSE
93014;93390;CLICHY-SOUS-BOIS
91179;91830;LE COUDRAY-MONTCEAUX
91405;91490;MILLY-LA-FORET
91081;91870;BOISSY-LE-SEC
92035;92250;LA GARENNE-COLOMBES
77063;77515;LA CELLE-SUR-MORIN
77234;77450;JABLINES
77495;77240;VERT-SAINT-DENIS
77088;77760;LA CHAPELLE-LA-REINE
